name,type,z,hostz,specjd,maxjd,phase,fname,flag,instrument,ntype,deljd_r,deljd_g,deljd,id,tag
ZTF18aauvnhh,Ia,0.062,0.058341,2458270.5,2458267.76,2.74,../ML_spectra/spectra/ZTF18aauvnhh_20180601_P60_v1.ascii,1,P60,Ia,50.9131597001033,754.952268500339,754.952268500339,,
ZTF18aavnxar,Ia,0.089,0.085084,2458276.5,2458269.7,6.8,../ML_spectra/spectra/ZTF18aavnxar_20180607_P60_v1.ascii,1,P60,Ia,37.0237731998859,29.9174536997598,37.0237731998859,,
ZTF18aawdpnm,Ia,0.046,0.044084,2458273.5,2458276.64,-3.14,../ML_spectra/spectra/ZTF18aawdpnm_20180604_P60_v1.ascii,1,P60,Ia,53.9387384001166,502.838541700039,502.838541700039,,
ZTF18aawurud,Ia,0.05,,2458318.5,2458332.76,-14.26,../ML_spectra/spectra/ZTF18aawurud_20180719_P60_v1.ascii,1,P60,Ia,58.7708102003526,30.9771528001802,58.7708102003526,,
ZTF18aaygwqd,Ib,0.04,,2458279.5,2458290.71,-11.21,../ML_spectra/spectra/ZTF18aaygwqd_20180610_P60_v1.ascii,1,P60,Ib,101.74880790012,816.722326399766,816.722326399766,,
ZTF18aaykjei,Ia-CSM,0.096,,2458306.5,2458299.8,6.7,../ML_spectra/spectra/ZTF18aaykjei_20180707_P60_v1.ascii,1,P60,Ia-CSM,102.86150459991,89.832847199883,102.86150459991,,
ZTF18aaykjei,Ia-CSM,0.096,,2458295.5,2458299.8,-4.3,../ML_spectra/spectra/ZTF18aaykjei_20180626_P60_v1.ascii,1,P60,Ia-CSM,102.86150459991,89.832847199883,102.86150459991,,
ZTF18aaykjei,Ia-CSM,0.096,,2458288.5,2458299.8,-11.3,../ML_spectra/spectra/ZTF18aaykjei_20180619_P60_v1.ascii,1,P60,Ia-CSM,102.86150459991,89.832847199883,102.86150459991,,
ZTF18abafhva,LBV,0.00286,0.00286,2458604.5,2456394.71,2209.79,../ML_spectra/spectra/ZTF18abafhva_20190501_P60_v1.ascii,2,P60,LBV,626.280011599883,2.16834490000474,626.280011599883,,
ZTF18abccqmd,CV,0.0,,2458327.5,2458322.87,4.63,../ML_spectra/spectra/ZTF18abccqmd_20180728_P60_v1.ascii,0,P60,CV,835.728495299824,835.73607640015,835.73607640015,,
ZTF18abccqmd,CV,0.0,,2458332.5,2458322.87,9.63,../ML_spectra/spectra/ZTF18abccqmd_20180802_P60_v1.ascii,0,P60,CV,835.728495299824,835.73607640015,835.73607640015,,
ZTF18abcdzyc,Ia,0.056,0.055757,2458292.5,2458300.76,-8.26,../ML_spectra/spectra/ZTF18abcdzyc_20180623_P60_v1.ascii,1,P60,Ia,65.0363425998949,18.004270799931,65.0363425998949,,
ZTF18abcfcoo,FBOT,0.014,,2458290.5,2458288.75,1.75,../ML_spectra/spectra/ZTF18abcfcoo_20180621_P60_v1.ascii,0,P60,FBOT,44.8653472000806,774.937141200055,774.937141200055,,
ZTF18abcfdzu,SLSN-II,0.128,,2458335.5,2458350.63,-15.13,../ML_spectra/spectra/ZTF18abcfdzu_20180805_P60_v2.ascii,1,P60,SLSN-II,347.99482630007,349.968171299908,349.968171299908,,
ZTF18abcfdzu,SLSN-II,0.128,,2458335.5,2458350.63,-15.13,../ML_spectra/spectra/ZTF18abcfdzu_20180805_P60_v1.ascii,1,P60,SLSN-II,347.99482630007,349.968171299908,349.968171299908,,
ZTF18abcfdzu,SLSN-II,0.128,,2458318.5,2458350.63,-32.13,../ML_spectra/spectra/ZTF18abcfdzu_20180719_P60_v3.ascii,1,P60,SLSN-II,347.99482630007,349.968171299908,349.968171299908,,
ZTF18abcfdzu,SLSN-II,0.128,,2458318.5,2458350.63,-32.13,../ML_spectra/spectra/ZTF18abcfdzu_20180719_P60_v2.ascii,1,P60,SLSN-II,347.99482630007,349.968171299908,349.968171299908,,
ZTF18abcicrq,Ia,0.107,0.1048,2458297.5,2458295.64,1.86,../ML_spectra/spectra/ZTF18abcicrq_20180628_P60_v1.ascii,1,P60,Ia,22.9765277998595,18.0338772996402,22.9765277998595,,
ZTF18abckxfb,CV,0.0,,2458297.5,2458293.79,3.71,../ML_spectra/spectra/ZTF18abckxfb_20180628_P60_v1.ascii,0,P60,CV,816.756122699939,816.916481500019,816.916481500019,,
ZTF18abclfee,Ia-02cx,0.029,,2458299.5,2458299.65,-0.15,../ML_spectra/spectra/ZTF18abclfee_20180630_P60_v1.ascii,1,P60,Ia-02cx,327.865335699629,39.976851799991,327.865335699629,,
ZTF18abcwzhs,varstar,0.0,,2458644.5,2458641.85,2.65,../ML_spectra/spectra/ZTF18abcwzhs_20190610_P60_v1.ascii,0,P60,star,596.584595000371,875.678136600189,875.678136600189,,
ZTF18abcyilc,Ia-02cx,0.057,,2458314.5,2458312.67,1.83,../ML_spectra/spectra/ZTF18abcyilc_20180715_P60_v1.ascii,1,P60,Ia-02cx,29.970648100134,0.0,29.970648100134,,
ZTF18abdbysy,II,0.013,0.012122,2458296.5,2458302.76,-6.26,../ML_spectra/spectra/ZTF18abdbysy_20180627_P60_v1.ascii,1,P60,IIP,87.9108564998169,78.9953124998137,87.9108564998169,,
ZTF18abdffeo,Ib/c,0.012,0.014744,2458325.5,2458306.62,18.88,../ML_spectra/spectra/ZTF18abdffeo_20180726_P60_v1.ascii,1,P60,Ib/c,39.9338079001755,14.0051156999398,39.9338079001755,,
ZTF18abdhsfc,Ia-91T,0.073,,2458303.5,2458312.86,-9.36,../ML_spectra/spectra/ZTF18abdhsfc_20180704_P60_v1.ascii,1,P60,Ia-91T,67.9719445002265,838.728298599817,838.728298599817,,
ZTF18abdingc,Q,0.03998,0.03998,2458327.5,2458311.67,15.83,../ML_spectra/spectra/ZTF18abdingc_20180728_P60_v2.ascii,2,P60,Q,13.9945255001148,,13.9945255001148,,
ZTF18abdingc,Q,0.03998,0.03998,2458327.5,2458311.67,15.83,../ML_spectra/spectra/ZTF18abdingc_20180728_P60_v1.ascii,2,P60,Q,13.9945255001148,,13.9945255001148,,
ZTF18abdkkwa,Ic,0.025,0.025318,2458310.5,2458326.73,-16.23,../ML_spectra/spectra/ZTF18abdkkwa_20180711_P60_v1.ascii,1,P60,Ic,98.8128356998786,86.8561342000103,98.8128356998786,,
ZTF18abeamgv,Ib,0.047,0.03518,2458307.5,2458314.67,-7.17,../ML_spectra/spectra/ZTF18abeamgv_20180708_P60_v1.ascii,1,P60,Ib,680.152314800303,19.1564814997837,680.152314800303,,
ZTF18abebzog,Ia,0.038,,2458310.5,2458316.8,-6.3,../ML_spectra/spectra/ZTF18abebzog_20180711_P60_v1.ascii,1,P60,Ia,756.980486100059,46.9259838000871,756.980486100059,,
ZTF18abebzog,Ia,0.038,,2458305.5,2458316.8,-11.3,../ML_spectra/spectra/ZTF18abebzog_20180706_P60_v1.ascii,1,P60,Ia,756.980486100059,46.9259838000871,756.980486100059,,
ZTF18abecbks,Ic,0.027,0.029651,2458304.5,2458312.69,-8.19,../ML_spectra/spectra/ZTF18abecbks_20180705_P60_v1.ascii,1,P60,Ic,81.8274074001383,86.7046644002985,86.7046644002985,,
ZTF18abespgb,Ia,0.052,,2458314.5,2458315.69,-1.19,../ML_spectra/spectra/ZTF18abespgb_20180715_P60_v1.ascii,1,P60,Ia,31.0301041998973,10.0090972003527,31.0301041998973,,
ZTF18abespgb,Ia,0.052,,2458314.5,2458315.69,-1.19,../ML_spectra/spectra/ZTF18abespgb_20180715_P60_v2.ascii,1,P60,Ia,31.0301041998973,10.0090972003527,31.0301041998973,,
ZTF18abetehf,Ia,0.065,0.064875,2458312.5,2458320.62,-8.12,../ML_spectra/spectra/ZTF18abetehf_20180713_P60_v2.ascii,1,P60,Ia,39.0621643997874,37.9449653001502,39.0621643997874,,
ZTF18abeyqpr,Ic,0.037,,2458332.5,2458322.73,9.77,../ML_spectra/spectra/ZTF18abeyqpr_20180802_P60_v1.ascii,1,P60,Ic,59.8746642996484,31.0395023003221,59.8746642996484,,
ZTF18abeyqpr,Ic,0.037,,2458324.5,2458322.73,1.77,../ML_spectra/spectra/ZTF18abeyqpr_20180725_P60_v1.ascii,1,P60,Ic,59.8746642996484,31.0395023003221,59.8746642996484,,
ZTF18abeyqpr,Ic,0.037,,2458332.5,2458322.73,9.77,../ML_spectra/spectra/ZTF18abeyqpr_20180802_P60_v2.ascii,1,P60,Ic,59.8746642996484,31.0395023003221,59.8746642996484,,
ZTF18abeyqpr,Ic,0.037,,2458331.5,2458322.73,8.77,../ML_spectra/spectra/ZTF18abeyqpr_20180801_P60_v1.ascii,1,P60,Ic,59.8746642996484,31.0395023003221,59.8746642996484,,
ZTF18abfdupq,Ia,0.068,,2458345.5,2458350.83,-5.33,../ML_spectra/spectra/ZTF18abfdupq_20180815_P60_v1.ascii,1,P60,Ia,26.9960416001268,23.9214931000024,26.9960416001268,,
ZTF18abfhaji,Ia,0.093,,2458320.5,2458323.84,-3.34,../ML_spectra/spectra/ZTF18abfhaji_20180721_P60_v2.ascii,1,P60,Ia,53.9177546999417,41.0185994999556,53.9177546999417,,
ZTF18abfzhct,Ic,0.037,,2458312.5,2458325.69,-13.19,../ML_spectra/spectra/ZTF18abfzhct_20180713_P60_v1.ascii,1,P60,Ic,66.905740799848,59.8782061003149,66.905740799848,,
ZTF18abfzhct,Ic,0.037,,2458312.5,2458325.69,-13.19,../ML_spectra/spectra/ZTF18abfzhct_20180713_P60_v2.ascii,1,P60,Ic,66.905740799848,59.8782061003149,66.905740799848,,
ZTF18abgmcmv,Ia-91T,0.011,0.018523,2458313.5,2458332.76,-19.26,../ML_spectra/spectra/ZTF18abgmcmv_20180714_P60_v2.ascii,1,P60,Ia-91T,117.870428199873,116.827395900145,117.870428199873,,
ZTF18abgmcmv,Ia-91T,0.011,0.018523,2458417.5,2458332.76,84.74,../ML_spectra/spectra/ZTF18abgmcmv_20181026_P60_v2.ascii,1,P60,Ia-91T,117.870428199873,116.827395900145,117.870428199873,,
ZTF18abgmcmv,Ia-91T,0.011,0.018523,2458313.5,2458332.76,-19.26,../ML_spectra/spectra/ZTF18abgmcmv_20180714_P60_v1.ascii,1,P60,Ia-91T,117.870428199873,116.827395900145,117.870428199873,,
ZTF18abiyatb,CV,0.0,,2458328.5,2458323.7,4.8,../ML_spectra/spectra/ZTF18abiyatb_20180729_P60_v1.ascii,0,P60,CV,845.815601800103,843.768483799897,845.815601800103,,
ZTF18abjqmqt,Ia,0.051,,2458333.5,2458328.85,4.65,../ML_spectra/spectra/ZTF18abjqmqt_20180803_P60_v2.ascii,1,P60,Ia,12.0511574000193,,12.0511574000193,,
ZTF18abjqmqt,Ia,0.051,,2458333.5,2458328.85,4.65,../ML_spectra/spectra/ZTF18abjqmqt_20180803_P60_v1.ascii,1,P60,Ia,12.0511574000193,,12.0511574000193,,
ZTF18abkhqhk,CV,0.0,,2458332.5,2458697.84,-365.34,../ML_spectra/spectra/ZTF18abkhqhk_20180802_P60_v1.ascii,0,P60,CV,377.035914400141,,377.035914400141,,
ZTF18abkhqhk,CV,0.0,,2458331.5,2458697.84,-366.34,../ML_spectra/spectra/ZTF18abkhqhk_20180801_P60_v2.ascii,0,P60,CV,377.035914400141,,377.035914400141,,
ZTF18abkhqhk,CV,0.0,,2458331.5,2458697.84,-366.34,../ML_spectra/spectra/ZTF18abkhqhk_20180801_P60_v1.ascii,0,P60,CV,377.035914400141,,377.035914400141,,
ZTF18abkhqhk,CV,0.0,,2458333.5,2458697.84,-364.34,../ML_spectra/spectra/ZTF18abkhqhk_20180803_P60_v1.ascii,0,P60,CV,377.035914400141,,377.035914400141,,
ZTF18abkjnqy,Ic,0.028,0.023522,2458633.5,2458346.62,286.88,../ML_spectra/spectra/ZTF18abkjnqy_20190530_P60_v1.ascii,1,P60,Ic,34.8492824002169,15.9634954002613,34.8492824002169,,
ZTF18abkjnqy,Ic,0.028,0.023522,2458633.5,2458346.62,286.88,../ML_spectra/spectra/ZTF18abkjnqy_20190530_P60_v2.ascii,1,P60,Ic,34.8492824002169,15.9634954002613,34.8492824002169,,
ZTF18abkjnqy,Ic,0.028,0.023522,2458336.5,2458346.62,-10.12,../ML_spectra/spectra/ZTF18abkjnqy_20180806_P60_v1.ascii,1,P60,Ic,34.8492824002169,15.9634954002613,34.8492824002169,,
ZTF18abkjnqy,Ic,0.028,0.023522,2458336.5,2458346.62,-10.12,../ML_spectra/spectra/ZTF18abkjnqy_20180806_P60_v2.ascii,1,P60,Ic,34.8492824002169,15.9634954002613,34.8492824002169,,
ZTF18abkudjo,Ia,0.096,0.092147,2458335.5,2458343.62,-8.12,../ML_spectra/spectra/ZTF18abkudjo_20180805_P60_v3.ascii,1,P60,Ia,35.9795600999932,31.0386227001509,35.9795600999932,,
ZTF18ablongw,Ia,0.088,0.081924,2458344.5,2458349.69,-5.19,../ML_spectra/spectra/ZTF18ablongw_20180814_P60_v1.ascii,1,P60,Ia,36.8509606001826,27.8907522996888,36.8509606001826,,
ZTF18ablqqqm,Q,0.03448,0.03448,2458344.5,2458351.67,-7.17,../ML_spectra/spectra/ZTF18ablqqqm_20180814_P60_v1.ascii,2,P60,Q,46.9759375001377,47.9634143998846,47.9634143998846,,
ZTF18ablqqqm,Q,0.03448,0.03448,2458344.5,2458351.67,-7.17,../ML_spectra/spectra/ZTF18ablqqqm_20180814_P60_v2.ascii,2,P60,Q,46.9759375001377,47.9634143998846,47.9634143998846,,
ZTF18ablrljh,Ia,0.095,0.094029,2458342.5,2458346.63,-4.13,../ML_spectra/spectra/ZTF18ablrljh_20180812_P60_v1.ascii,1,P60,Ia,43.8346295999363,41.0349190002235,43.8346295999363,,
ZTF18ablrljh,Ia,0.095,0.094029,2458342.5,2458346.63,-4.13,../ML_spectra/spectra/ZTF18ablrljh_20180812_P60_v2.ascii,1,P60,Ia,43.8346295999363,41.0349190002235,43.8346295999363,,
ZTF18ablwafp,SLSN-I,0.142,,2458363.5,2458376.64,-13.14,../ML_spectra/spectra/ZTF18ablwafp_20180902_P60_v1.ascii,1,P60,SLSN-I,59.8731482000949,62.7706249998737,62.7706249998737,,
ZTF18ablwafp,SLSN-I,0.142,,2458379.5,2458376.64,2.86,../ML_spectra/spectra/ZTF18ablwafp_20180918_P60_v1.ascii,1,P60,SLSN-I,59.8731482000949,62.7706249998737,62.7706249998737,,
ZTF18abmnrgb,Ia,0.043,,2458363.5,2458362.7,0.8,../ML_spectra/spectra/ZTF18abmnrgb_20180902_P60_v1.ascii,1,P60,Ia,678.081759300083,35.9839814999214,678.081759300083,,
ZTF18abmogag,Ia,0.08,0.082214,2458347.5,2458346.82,0.68,../ML_spectra/spectra/ZTF18abmogag_20180817_P60_v1.ascii,1,P60,Ia,697.991608799908,29.0091782999152,697.991608799908,,
ZTF18abncimo,Ia,0.059,0.05684,2458362.5,2458361.84,0.66,../ML_spectra/spectra/ZTF18abncimo_20180901_P60_v1.ascii,1,P60,Ia,318.012187500019,29.9624420995824,318.012187500019,,
ZTF18abnxhmc,Ia,0.077,0.076562,2458349.5,2458363.72,-14.22,../ML_spectra/spectra/ZTF18abnxhmc_20180819_P60_v1.ascii,1,P60,Ia,38.9181482000204,38.9358795997759,38.9358795997759,,
ZTF18abnxhmc,Ia,0.077,0.076562,2458359.5,2458363.72,-4.22,../ML_spectra/spectra/ZTF18abnxhmc_20180829_P60_v1.ascii,1,P60,Ia,38.9181482000204,38.9358795997759,38.9358795997759,,
ZTF18abnygkb,Ia,0.071,,2458359.5,2458360.82,-1.32,../ML_spectra/spectra/ZTF18abnygkb_20180829_P60_v1.ascii,1,P60,Ia,818.81006950001,28.9383449000306,818.81006950001,,
ZTF18abobkii,Ia,0.062,0.059774,2458358.5,2458359.67,-1.17,../ML_spectra/spectra/ZTF18abobkii_20180828_P60_v1.ascii,1,P60,Ia,42.0027777999858,37.8799652997404,42.0027777999858,,
ZTF18abomklq,Ia,0.038,0.038854,2458417.5,2458360.85,56.65,../ML_spectra/spectra/ZTF18abomklq_20181026_P60_v1.ascii,1,P60,Ia,805.78454860019,827.747141199652,827.747141199652,,
ZTF18abomklq,Ia,0.038,0.038854,2458466.5,2458360.85,105.65,../ML_spectra/spectra/ZTF18abomklq_20181214_P60_v1.ascii,1,P60,Ia,805.78454860019,827.747141199652,827.747141199652,,
ZTF18aboqykf,Ia,0.085,,2458359.5,2458364.77,-5.27,../ML_spectra/spectra/ZTF18aboqykf_20180829_P60_v1.ascii,1,P60,Ia,32.9113309998211,495.859375,495.859375,,
ZTF18abrfchj,Ic,0.013,0.011461,2458439.5,2458397.85,41.65,../ML_spectra/spectra/ZTF18abrfchj_20181117_P60_v1.ascii,1,P60,Ic,712.191354199786,693.04209490028,712.191354199786,,
ZTF18abrytwr,Ia,0.061,,2458373.5,2458363.86,9.64,../ML_spectra/spectra/ZTF18abrytwr_20180912_P60_v1.ascii,1,P60,Ia,490.794536999892,9.02689810004085,490.794536999892,,
ZTF18abshezu,SLSN-I,0.23,,2458418.5,2458423.69,-5.19,../ML_spectra/spectra/ZTF18abshezu_20181027_P60_v2.ascii,1,P60,SLSN-I,108.682280099958,105.813958399929,108.682280099958,,
ZTF18abshezu,SLSN-I,0.23,,2458371.5,2458423.69,-52.19,../ML_spectra/spectra/ZTF18abshezu_20180910_P60_v1.ascii,1,P60,SLSN-I,108.682280099958,105.813958399929,108.682280099958,,
ZTF18abshezu,SLSN-I,0.23,,2458418.5,2458423.69,-5.19,../ML_spectra/spectra/ZTF18abshezu_20181027_P60_v1.ascii,1,P60,SLSN-I,108.682280099958,105.813958399929,108.682280099958,,
ZTF18abshmro,Ia,0.054,0.054386,2458367.5,2458362.89,4.61,../ML_spectra/spectra/ZTF18abshmro_20180906_P60_v1.ascii,1,P60,Ia,11.9417476998788,8.97975700024108,11.9417476998788,,
ZTF18absspcp,Ia,0.066,,2458372.5,2458374.62,-2.12,../ML_spectra/spectra/ZTF18absspcp_20180911_P60_v1.ascii,1,P60,Ia,34.9423843002805,31.8297453001069,34.9423843002805,,
ZTF18absspcp,Ia,0.066,,2458366.5,2458374.62,-8.12,../ML_spectra/spectra/ZTF18absspcp_20180905_P60_v1.ascii,1,P60,Ia,34.9423843002805,31.8297453001069,34.9423843002805,,
ZTF18abuhzfc,Ia,0.035,0.03826,2458374.5,2458382.78,-8.28,../ML_spectra/spectra/ZTF18abuhzfc_20180913_P60_v1.ascii,1,P60,Ia,768.922916700132,64.8277777000403,768.922916700132,,
ZTF18abuicad,SLSN-II,0.136,,2458423.5,2458425.68,-2.18,../ML_spectra/spectra/ZTF18abuicad_20181101_P60_v1.ascii,1,P60,SLSN-II,354.955161999918,359.09046300035,359.09046300035,,
ZTF18abvejqt,II,0.049,,2458475.5,2458491.55,-16.05,../ML_spectra/spectra/ZTF18abvejqt_20181223_P60_v1.ascii,1,P60,IIP,111.706863400053,136.733275500141,136.733275500141,,
ZTF18abvfjwt, Ic-BL,0.073,,2458384.5,2458383.96,0.54,../ML_spectra/spectra/ZTF18abvfjwt_20180923_P60_v1.ascii,0,P60,Ic-BL,15.0183216999212,12.0582870002982,15.0183216999212,,
ZTF18abvgjgb,IIn,0.0835,,2458401.5,2458388.97,12.53,../ML_spectra/spectra/ZTF18abvgjgb_20181010_P60_v1.ascii,1,P60,IIn,360.993564800352,689.300659700304,689.300659700304,,
ZTF18abvgjyl,SLSN-I,0.23,,2458380.5,2458389.97,-9.47,../ML_spectra/spectra/ZTF18abvgjyl_20180919_P60_v1.ascii,1,P60,SLSN-I,194.609791600131,687.252662099891,687.252662099891,,
ZTF18abvgjyl,SLSN-I,0.23,,2458382.5,2458389.97,-7.47,../ML_spectra/spectra/ZTF18abvgjyl_20180921_P60_v1.ascii,1,P60,SLSN-I,194.609791600131,687.252662099891,687.252662099891,,
ZTF18abvglon,Ia,0.05,,2458389.5,2458372.97,16.53,../ML_spectra/spectra/ZTF18abvglon_20180928_P60_v1.ascii,1,P60,Ia,92.0123149002902,42.0111690000558,92.0123149002902,,
ZTF18abvklbt,QSO,0.672,,2458377.5,2459042.91,-665.41,../ML_spectra/spectra/ZTF18abvklbt_20180916_P60_v1.ascii,0,P60,QSO,519.777314799845,799.813067200135,799.813067200135,,
ZTF18abvkmgw,Ib,0.043,0.038511,2458382.5,2458379.84,2.66,../ML_spectra/spectra/ZTF18abvkmgw_20180921_P60_v2.ascii,1,P60,Ib,9.9382060998978,353.01548609975,353.01548609975,,
ZTF18abvkmgw,Ib,0.043,0.038511,2458375.5,2458379.84,-4.34,../ML_spectra/spectra/ZTF18abvkmgw_20180914_P60_v1.ascii,1,P60,Ib,9.9382060998978,353.01548609975,353.01548609975,,
ZTF18abvkmgw,Ib,0.043,0.038511,2458377.5,2458379.84,-2.34,../ML_spectra/spectra/ZTF18abvkmgw_20180916_P60_v1.ascii,1,P60,Ib,9.9382060998978,353.01548609975,353.01548609975,,
ZTF18abvptts,Ia,0.035,,2458380.5,2458388.7,-8.2,../ML_spectra/spectra/ZTF18abvptts_20180919_P60_v1.ascii,1,P60,Ia,56.8357869996689,24.9642244996503,56.8357869996689,,
ZTF18abvxoty,II,0.089,,2458400.5,2458384.78,15.72,../ML_spectra/spectra/ZTF18abvxoty_20181009_P60_v1.ascii,1,P60,IIP,,15.0404628999604,15.0404628999604,,
ZTF18abvxqtp,Ia,0.077,,2458385.5,2458390.72,-5.22,../ML_spectra/spectra/ZTF18abvxqtp_20180924_P60_v1.ascii,1,P60,Ia,53.9165276996719,11.9880091999585,53.9165276996719,,
ZTF18abvxqtp,Ia,0.077,,2458400.5,2458390.72,9.78,../ML_spectra/spectra/ZTF18abvxqtp_20181009_P60_v1.ascii,1,P60,Ia,53.9165276996719,11.9880091999585,53.9165276996719,,
