name,type,ntype,z,specjd,maxjd,peakmag,peakfilt,instrument
ZTF19aadttht, Ic,Ic,0.00638,2458642.5,2458509.94,15.984,r,P60
ZTF19aadttht, Ic,Ic,0.00638,2458646.5,2458509.94,15.984,r,P60
ZTF19aadttht, Ic,Ic,0.00638,2458666.5,2458509.94,15.984,r,P60
ZTF19aadypig, II,IIP,0.03,2458534.5,2458513.01,17.334,g,P60
ZTF19aaeuhgo, II,IIP,0.0678,2458759.5,2458654.89,18.1958,r,P60
ZTF19aafmyow, Ic,Ic,0.0265,2458592.5,2458538.96,16.9621,r,P60
ZTF19aafmyow, Ic,Ic,0.0265,2458633.5,2458538.96,16.9621,r,P60
ZTF19aafmyow, Ic,Ic,0.0265,2458633.5,2458538.96,16.9621,r,P60
ZTF19aailvhf, II,IIP,0.029,2458557.5,2458543.91,18.8449,r,P60
ZTF19aaduufr, IIP,IIP,0.035,2458591.5,2458617.67,18.2662,r,P60
ZTF19aaduufr, IIP,IIP,0.035,2458593.5,2458617.67,18.2662,r,P60
ZTF19aafnend, IIn,IIn,0.1203,2458588.5,2458574.78,18.8531,r,P60
ZTF19aafnend, IIn,IIn,0.1203,2458590.5,2458574.78,18.8531,r,P60
ZTF19aakirwj, Ib,Ib,0.03165,2458538.5,2458580.72,18.5393,r,P60
ZTF19aakirwj, Ib,Ib,0.03165,2458538.5,2458580.72,18.5393,r,P60
ZTF19aakirwj, Ib,Ib,0.03165,2458592.5,2458580.72,18.5393,r,P60
ZTF19aakkths, IIb,IIb-H,0.0124,2458538.5,2458538.57,17.4511,r,P60
ZTF19aaknate, IIb,IIb-H,0.01188,2458538.5,2458559.66,17.0787,r,P60
ZTF19aaknate, IIb,IIb-H,0.01188,2458538.5,2458559.66,17.0787,r,P60
ZTF19aaknate, IIb,IIb-H,0.01188,2458547.5,2458559.66,17.0787,r,P60
ZTF19aaknate, IIb,IIb-noH,0.01188,2458575.5,2458559.66,17.0787,r,P60
ZTF19aaknate, IIb,IIb-noH,0.01188,2458587.5,2458559.66,17.0787,r,P60
ZTF19aaksxgp, IIn,IIn,0.0467,2458556.5,2458560.7,18.7472,g,P60
ZTF19aalahqa, Ib,Ib,0.0439,2458543.5,2458543.91,18.5778,r,P60
ZTF19aalahqa, Ib,Ib,0.0439,2458557.5,2458543.91,18.5778,r,P60
ZTF19aakrsuo, II,IIP,0.03112,2458546.5,2458543.7,18.2863,r,P60
ZTF19aakzash, II,IIP,0.0365,2458546.5,2458558.67,18.8035,r,P60
ZTF19aallimd, II,IIP,0.03,2458571.5,2458568.72,16.9438,r,P60
ZTF19aalouag, Ib,Ib,0.0549,2458573.5,2458587.71,18.2424,r,P60
ZTF19aalouag, Ib,Ib,0.0549,2458588.5,2458587.71,18.2424,r,P60
ZTF19aalouag, Ib,Ib,0.0549,2458596.5,2458587.71,18.2424,r,P60
ZTF19aalouag, Ib,Ib,0.0549,2458597.5,2458587.71,18.2424,r,P60
ZTF19aalouag, Ib,Ib,0.0549,2458633.5,2458587.71,18.2424,r,P60
ZTF19aakssnv, II,IIP,0.029,2458558.5,2458557.83,18.2145,r,P60
ZTF19aalfsqm, Ic,Ic,0.0305,2458557.5,2458547.97,18.6681,r,P60
ZTF19aalsnbp, II,IIP,0.05,2458557.5,2458547.86,18.5689,g,P60
ZTF19aalsnbp, II,IIP,0.05,2458557.5,2458547.86,18.5689,g,P60
ZTF19aakpmqg, II,IIP,0.03,2458559.5,2458539.6,17.2252,g,P60
ZTF19aalztms, II,IIP,0.04,2458574.5,2458560.92,18.657,r,P60
ZTF19aamkmxv, IIn,IIn,0.014,2458565.5,2458573.87,16.5433,r,P60
ZTF19aamggnw, II,IIP,0.037,2458560.5,2458567.67,18.4969,r,P60
ZTF19aamhgwm, II,IIP,0.03422,2458560.5,2458572.81,18.0786,r,P60
ZTF19aamgghn, Ib,Ib,0.02968,2458560.5,2458572.67,17.9229,r,P60
ZTF19aamgghn, Ib,Ib,0.02968,2458568.5,2458572.67,17.9229,r,P60
ZTF19aamggmk, II,IIP,0.03271,2458560.5,2458567.69,18.7457,r,P60
ZTF19aamkfvy, II,IIP,0.03,2458559.5,2458572.74,18.4521,r,P60
ZTF19aamkfvy, II,IIP,0.03,2458567.5,2458572.74,18.4521,r,P60
ZTF19aamljom, II,IIP,0.02,2458568.5,2458568.88,16.1006,g,P60
ZTF19aamljom, II,IIP,0.02,2458572.5,2458568.88,16.1006,g,P60
ZTF19aamljom, II,IIP,0.02,2458592.5,2458568.88,16.1006,g,P60
ZTF19aamljom, II,IIP,0.02,2458633.5,2458568.88,16.1006,g,P60
ZTF19aamljom, II,IIP,0.02,2458678.5,2458568.88,16.1006,g,P60
ZTF19aamtwiz, II,IIP,0.04468,2458564.5,2458567.73,18.7467,g,P60
ZTF19aamtwiz, II,IIP,0.04468,2458567.5,2458567.73,18.7467,g,P60
ZTF19aamtwiz, II,IIP,0.04468,2458568.5,2458567.73,18.7467,g,P60
ZTF19aamtwiz, II,IIP,0.04468,2458601.5,2458567.73,18.7467,g,P60
ZTF19aamvape, II,IIP,0.03,2458579.5,2458580.93,17.7307,r,P60
ZTF19aamowaf, II,IIP,0.025,2458572.5,2458569.83,17.9626,r,P60
ZTF19aamowaf, II,IIP,0.025,2458572.5,2458569.83,17.9626,r,P60
ZTF19aamowaf, II,IIP,0.025,2458572.5,2458569.83,17.9626,r,P60
ZTF19aamsetj, Ic,Ic,0.02751,2458567.5,2458593.78,17.368,r,P60
ZTF19aamsetj, Ic,Ic,0.02751,2458591.5,2458593.78,17.368,r,P60
ZTF19aamsetj, Ic,Ic,0.02751,2458596.5,2458593.78,17.368,r,P60
ZTF19aanfnvl, II,IIP,0.03167,2458567.5,2458594.6,18.1435,r,P60
ZTF19aanfnvl, II,IIP,0.03167,2458568.5,2458594.6,18.1435,r,P60
ZTF19aanfqug, IIn,IIn,0.046,2458581.5,2458591.64,18.9417,g,P60
ZTF19aanfqug, IIn,IIn,0.046,2458595.5,2458591.64,18.9417,g,P60
ZTF19aanfukh, Ic,Ic,0.02765,2458567.5,2458575.68,18.0801,r,P60
ZTF19aanfukh, Ic,Ic,0.02765,2458567.5,2458575.68,18.0801,r,P60
ZTF19aanfukh, Ic,Ic,0.02765,2458568.5,2458575.68,18.0801,r,P60
ZTF19aanfukh, Ic,Ic,0.02765,2458572.5,2458575.68,18.0801,r,P60
ZTF19aanfukh, Ic,Ic,0.02765,2458594.5,2458575.68,18.0801,r,P60
ZTF19aanfukh, Ic,Ic,0.02765,2458594.5,2458575.68,18.0801,r,P60
ZTF19aanhhal, IIP,IIP,0.02597,2458567.5,2458583.76,18.1326,r,P60
ZTF19aanhhal, IIP,IIP,0.02597,2458567.5,2458583.76,18.1326,r,P60
ZTF19aaniore, II,IIP,0.03,2458573.5,2458586.8,18.4843,r,P60
ZTF19aanlekq, II,IIP,0.03677,2458568.5,2458572.9,18.0948,r,P60
ZTF19aanlekq, II,IIP,0.03677,2458574.5,2458572.9,18.0948,r,P60
ZTF19aanlekq, II,IIP,0.03677,2458585.5,2458572.9,18.0948,r,P60
ZTF19aanovps, II,IIP,0.035,2458575.5,2458584.82,18.5628,r,P60
ZTF19aanpcep, II,IIP,0.0314,2458571.5,2458575.8,17.9029,g,P60
ZTF19aanpcep, II,IIP,0.0314,2458572.5,2458575.8,17.9029,g,P60
ZTF19aanpcep, II,IIP,0.0314,2458572.5,2458575.8,17.9029,g,P60
ZTF19aanpcep, II,IIP,0.0314,2458573.5,2458575.8,17.9029,g,P60
ZTF19aanrrqu, II,IIP,0.02377,2458572.5,2458580.8,17.1262,r,P60
ZTF19aanrrqu, II,IIP,0.02377,2458573.5,2458580.8,17.1262,r,P60
ZTF19aanrrqu, II,IIP,0.02377,2458580.5,2458580.8,17.1262,r,P60
ZTF19aanijpu, Ic,Ic,0.041,2458584.5,2458616.75,17.4986,r,P60
ZTF19aanijpu, Ic,Ic,0.041,2458586.5,2458616.75,17.4986,r,P60
ZTF19aanijpu, Ic,Ic,0.041,2458597.5,2458616.75,17.4986,r,P60
ZTF19aanijpu, Ic,Ic,0.041,2458632.5,2458616.75,17.4986,r,P60
ZTF19aanijpu, Ic,Ic,0.041,2458633.5,2458616.75,17.4986,r,P60
ZTF19aanijpu, Ic,Ic,0.041,2458650.5,2458616.75,17.4986,r,P60
ZTF19aanijpu, Ic,Ic,0.041,2458650.5,2458616.75,17.4986,r,P60
ZTF19aanijpu, Ic,Ic,0.041,2458685.5,2458616.75,17.4986,r,P60
ZTF19aaoxvfe, Ib,Ib,0.0364,2458580.5,2458594.77,18.7415,r,P60
ZTF19aaoxvfe, Ib,Ib,0.0364,2458592.5,2458594.77,18.7415,r,P60
ZTF19aapadxs, IIb,IIb-H,0.035,2458597.5,2458592.71,18.2407,r,P60
ZTF19aapadxs, IIb,IIb-H,0.035,2458597.5,2458592.71,18.2407,r,P60
ZTF19aapafit, IIP,IIP,0.0186,2458581.5,2458605.83,17.6661,r,P60
ZTF19aandjiw, II,IIP,0.025,2458581.5,2458581.59,18.3699,r,P60
ZTF19aaozsuh, IIn,IIn,0.056,2458587.5,2458597.81,17.4162,r,P60
ZTF19aapbfot, II,IIP,0.03,2458584.5,2458605.83,18.7114,r,P60
ZTF19aapwnmb, Ib,Ib,0.095,2458586.5,2458584.94,18.862,g,P60
ZTF19aapfnym, II,IIP,0.034,2458586.5,2458581.77,18.5667,g,P60
ZTF19aapfnym, II,IIP,0.034,2458598.5,2458581.77,18.5667,g,P60
ZTF19aapceyj, Ic,Ic,0.018,2458586.5,2458598.61,18.5595,r,P60
ZTF19aapceyj, Ic,Ic,0.018,2458592.5,2458598.61,18.5595,r,P60
ZTF19aaprvar, II,IIP,0.017,2458591.5,2458607.95,17.3011,r,P60
ZTF19aaqasrq, IIn,IIn,0.025,2458592.5,2458607.83,17.0116,r,P60
ZTF19aaqdkrm, II,IIP,0.03422,2458590.5,2458592.87,17.9757,g,P60
ZTF19aaqdkrm, II,IIP,0.03422,2458590.5,2458592.87,17.9757,g,P60
ZTF19aaqdkrm, II,IIP,0.03422,2458593.5,2458592.87,17.9757,g,P60
ZTF19aaqdkrm, II,IIP,0.03422,2458593.5,2458592.87,17.9757,g,P60
ZTF19aaqdkrm, II,IIP,0.03422,2458593.5,2458592.87,17.9757,g,P60
ZTF19aaqxosb, II,IIP,0.01931,2458591.5,2458597.8,18.0449,r,P60
ZTF19aapreza, II,IIP,0.0164,2458596.5,2458582.92,18.1881,r,P60
ZTF19aarfkch, IIb,IIb-noH,0.051,2458593.5,2458619.78,18.6693,r,P60
ZTF19aarfkch, IIb,IIb-noH,0.051,2458601.5,2458619.78,18.6693,r,P60
ZTF19aarfyvc, Ic,Ic,0.09,2458617.5,2458619.78,18.6317,r,P60
ZTF19aarfyvc, Ic,Ic,0.09,2458617.5,2458619.78,18.6317,r,P60
ZTF19aarfyvc, Ic,Ic,0.09,2458634.5,2458619.78,18.6317,r,P60
ZTF19aapzbjr, IIn,IIn,0.0305,2458633.5,2458633.65,17.9907,r,P60
ZTF19aarnqys, Ib,Ib,0.04,2458607.5,2458606.79,18.8864,r,P60
ZTF19aarnqys, Ib,Ib,0.04,2458616.5,2458606.79,18.8864,r,P60
ZTF19aarnqys, Ib,Ib,0.04,2458616.5,2458606.79,18.8864,r,P60
ZTF19aarjfqe, II,IIP,0.02138,2458599.5,2458612.64,18.0481,r,P60
ZTF19aarjfqe, II,IIP,0.02138,2458605.5,2458612.64,18.0481,r,P60
ZTF19aariwfe, II,IIP,0.0359,2458606.5,2458601.68,18.3551,g,P60
ZTF19aariwfe, II,IIP,0.0359,2458632.5,2458601.68,18.3551,g,P60
ZTF19aaspsbg, II,IIP,0.01249,2458605.5,2458601.7,18.6868,r,P60
ZTF19aaspsbg, II,IIP,0.01249,2458617.5,2458601.7,18.6868,r,P60
ZTF19aarfnmb, II,IIP,0.04561,2458605.5,2458602.75,18.5588,r,P60
ZTF19aatgxjy, II,IIP,0.04,2458606.5,2458608.77,17.1867,g,P60
ZTF19aatgxjy, II,IIP,0.04,2458612.5,2458608.77,17.1867,g,P60
ZTF19aatgxjy, II,IIP,0.04,2458615.5,2458608.77,17.1867,g,P60
ZTF19aatgxjy, II,IIP,0.04,2458631.5,2458608.77,17.1867,g,P60
ZTF19aatheus, Ic,Ic,0.01836,2458606.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458606.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458616.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458616.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458618.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458632.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458633.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458634.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458642.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458652.5,2458618.71,16.4307,r,P60
ZTF19aatheus, Ic,Ic,0.01836,2458652.5,2458618.71,16.4307,r,P60
ZTF19aaozugz, II,IIP,0.04974,2458606.5,2458617.74,18.9907,r,P60
ZTF19aaozugz, II,IIP,0.04974,2458617.5,2458617.74,18.9907,r,P60
ZTF19aatesgp, IIb,IIb-noH,0.00552,2458611.5,2458606.66,15.8201,r,P60
ZTF19aatesgp, IIb,IIb-noH,0.00552,2458611.5,2458606.66,15.8201,r,P60
ZTF19aatesgp, IIb,IIb-noH,0.00552,2458634.5,2458606.66,15.8201,r,P60
ZTF19aatesgp, IIb,IIb-noH,0.00552,2458673.5,2458606.66,15.8201,r,P60
ZTF19aatqzim, II,IIP,0.05007,2458607.5,2458612.71,18.5177,g,P60
ZTF19aatqzim, II,IIP,0.05007,2458608.5,2458612.71,18.5177,g,P60
ZTF19aatqzim, II,IIP,0.05007,2458617.5,2458612.71,18.5177,g,P60
ZTF19aatqzim, II,IIP,0.05007,2458632.5,2458612.71,18.5177,g,P60
ZTF19aatqzim, II,IIP,0.05007,2458635.5,2458612.71,18.5177,g,P60
ZTF19aatqzim, II,IIP,0.05007,2458635.5,2458612.71,18.5177,g,P60
ZTF19aathllr, II,IIP,0.055,2458616.5,2458616.85,18.3942,r,P60
ZTF19aathllr, II,IIP,0.055,2458633.5,2458616.85,18.3942,r,P60
ZTF18aaqkdwu, II,IIP,0.06037,2458617.5,2458612.71,18.6398,g,P60
ZTF18aaqkdwu, II,IIP,0.06037,2458617.5,2458612.71,18.6398,g,P60
ZTF19aauishy, II,IIP,0.0226,2458617.5,2458636.67,18.5515,r,P60
ZTF19aauishy, II,IIP,0.0226,2458617.5,2458636.67,18.5515,r,P60
ZTF19aauisdr, IIn,IIn,0.0433,2458631.5,2458628.66,18.6297,g,P60
ZTF19aatmgjs, II,IIP,0.03,2458617.5,2458617.73,18.1924,r,P60
ZTF19aatmgjs, II,IIP,0.03,2458617.5,2458617.73,18.1924,r,P60
ZTF19aauvbqv, II,IIP,0.03084,2458617.5,2458634.73,18.2436,r,P60
ZTF19aauvbqv, II,IIP,0.03084,2458642.5,2458634.73,18.2436,r,P60
ZTF19aauqwna, IIP,IIP,0.041,2458636.5,2458627.86,18.5174,r,P60
ZTF19aavbjfp, II,IIP,0.028,2458635.5,2458622.61,18.2539,g,P60
ZTF19aavoweu, Ic,Ic,0.0359,2458641.5,2458647.71,18.3404,r,P60
ZTF19aavoweu, Ic,Ic,0.0359,2458642.5,2458647.71,18.3404,r,P60
ZTF19aavoweu, Ic,Ic,0.0359,2458654.5,2458647.71,18.3404,r,P60
ZTF19aavhblr, II,IIP,0.05,2458637.5,2458628.78,18.5241,r,P60
ZTF19aavjzrz, IIP,IIP,0.018,2458650.5,2458691.88,17.8238,r,P60
ZTF19aavjztg, II,IIP,0.02,2458661.5,2458652.9,18.3076,r,P60
ZTF19aauxxgk, II,IIP,0.026,2458640.5,2458628.9,17.5287,g,P60
ZTF19aavqics, II,IIP,0.0215,2458634.5,2458646.66,16.8074,r,P60
ZTF19aavqics, II,IIP,0.0215,2458634.5,2458646.66,16.8074,r,P60
ZTF19aavrcew, IIP,IIP,0.01943,2458634.5,2458639.68,16.9961,g,P60
ZTF19aavyvbn, IIn,IIn,0.016,2458787.5,2458776.96,16.9896,r,P60
ZTF19aavyvbn, IIn,IIn,0.016,2458811.5,2458776.96,16.9896,r,P60
ZTF19aawethv, IIb,IIb-H,0.006,2458651.5,2458637.87,17.5198,r,P60
ZTF19aawethv, IIb,IIb-noH,0.006,2458686.5,2458637.87,17.5198,r,P60
ZTF19aawethv, IIb,IIb-noH,0.006,2458698.5,2458637.87,17.5198,r,P60
ZTF19aavnuur, II,IIP,0.026,2458639.5,2458646.67,18.9917,r,P60
ZTF19aavnuur, II,IIP,0.026,2458639.5,2458646.67,18.9917,r,P60
ZTF19aavnuur, II,IIP,0.026,2458652.5,2458646.67,18.9917,r,P60
ZTF19aavnuur, II,IIP,0.026,2458652.5,2458646.67,18.9917,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458635.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458635.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458643.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458643.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458667.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458710.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458735.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458744.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458744.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458745.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458745.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458750.5,2458653.65,18.3783,r,P60
ZTF19aawgxdn, IIP,IIP,0.03066,2458756.5,2458653.65,18.3783,r,P60
ZTF19aavtcjs, IIP,IIP,0.0223,2458637.5,2458636.78,18.9832,r,P60
ZTF19aavtcjs, IIP,IIP,0.0223,2458637.5,2458636.78,18.9832,r,P60
ZTF18aaegvyd, II,IIP,0.0235,2458659.5,2458638.66,18.1036,r,P60
ZTF19aavgukt, Ic,Ic,0.0362,2458640.5,2458619.66,18.6241,g,P60
ZTF19aavgukt, Ic,Ic,0.0362,2458640.5,2458619.66,18.6241,g,P60
ZTF19aawfkeg, II,IIP,0.047,2458648.5,2458650.93,18.5392,g,P60
ZTF19aaxeaag, IIn,IIn,0.04543,2458643.5,2458645.65,18.0852,g,P60
ZTF19aaxeaag, IIn,IIn,0.04543,2458653.5,2458645.65,18.0852,g,P60
ZTF19aaxeaag, IIn,IIn,0.04543,2458653.5,2458645.65,18.0852,g,P60
ZTF19aauoiow, II,IIP,0.01562,2458642.5,2458636.87,16.6202,r,P60
ZTF19aavjukt, IIn,IIn,0.036,2458649.5,2458663.77,17.7584,r,P60
ZTF19aavjukt, IIn,IIn,0.036,2458649.5,2458663.77,17.7584,r,P60
ZTF19aavjukt, IIn,IIn,0.036,2458660.5,2458663.77,17.7584,r,P60
ZTF19aavjukt, IIn,IIn,0.036,2458660.5,2458663.77,17.7584,r,P60
ZTF19aawsdlq, II,IIP,0.0156,2458642.5,2458650.87,17.4768,r,P60
ZTF19aawqcgy, Ic-BL,Ic-BL,0.02065,2458643.5,2458648.71,17.8541,r,P60
ZTF19aawqcgy, Ic-BL,Ic-BL,0.02065,2458647.5,2458648.71,17.8541,r,P60
ZTF19aawqcgy, Ic-BL,Ic-BL,0.02065,2458647.5,2458648.71,17.8541,r,P60
ZTF19aaydpiq, II,IIP,0.02373,2458644.5,2458648.63,16.8114,g,P60
ZTF19aaydpiq, II,IIP,0.02373,2458647.5,2458648.63,16.8114,g,P60
ZTF19aaydpiq, II,IIP,0.02373,2458647.5,2458648.63,16.8114,g,P60
ZTF19aaydtur, II,IIP,0.03474,2458649.5,2458701.61,18.5088,r,P60
ZTF19aaezale, IIn,IIn,0.083,2458663.5,2458636.87,18.4062,r,P60
ZTF19aaezale, IIn,IIn,0.083,2458676.5,2458636.87,18.4062,r,P60
ZTF19aaycrgf, IIP,IIP,0.015,2458645.5,2458650.88,17.88,r,P60
ZTF19aaycrgf, IIP,IIP,0.015,2458646.5,2458650.88,17.88,r,P60
ZTF19aaykqsk, II,IIP,0.0258,2458649.5,2458649.62,18.3898,g,P60
ZTF19aaykqsk, II,IIP,0.0258,2458649.5,2458649.62,18.3898,g,P60
ZTF19aaysfbn, II,IIP,0.02811,2458652.5,2458648.62,17.7592,g,P60
ZTF19aazfvhh, IIP,IIP,0.03403,2458653.5,2458652.89,18.9057,r,P60
ZTF19aazfvhh, IIP,IIP,0.03403,2458658.5,2458652.89,18.9057,r,P60
ZTF19aazpvdy, II,IIP,0.04,2458660.5,2458649.62,18.0476,g,P60
ZTF19aavjzwm, IIP,IIP,0.013,2458679.5,2458653.9,17.1802,r,P60
ZTF19aayrosj, II,IIP,0.01506,2458650.5,2458657.87,18.1822,r,P60
ZTF19aayrosj, II,IIP,0.01506,2458652.5,2458657.87,18.1822,r,P60
ZTF19aayrosj, II,IIP,0.01506,2458672.5,2458657.87,18.1822,r,P60
ZTF19aazudta, II,IIP,0.02389,2458651.5,2458723.78,18.4248,r,P60
ZTF19aazudta, II,IIP,0.02389,2458657.5,2458723.78,18.4248,r,P60
ZTF19aazwnwy, IIb,IIb-H,0.08528,2458650.5,2458657.64,17.7569,g,P60
ZTF19aazwnwy, IIb,IIb-H,0.08528,2458659.5,2458657.64,17.7569,g,P60
ZTF19aazwnwy, IIb,IIb-H,0.08528,2458675.5,2458657.64,17.7569,g,P60
ZTF19aazdsgo, Ib,Ib,0.02,2458653.5,2458652.91,18.44,r,P60
ZTF19aaxkhxw, II,IIP,0.037,2458653.5,2458653.68,18.9394,r,P60
ZTF19aaxkhxw, II,IIP,0.037,2458653.5,2458653.68,18.9394,r,P60
ZTF19aaxkhxw, II,IIP,0.037,2458661.5,2458653.68,18.9394,r,P60
ZTF19aaxkhxw, II,IIP,0.037,2458661.5,2458653.68,18.9394,r,P60
ZTF19abacxod, IIb,IIb-H,0.01765,2458654.5,2458672.64,17.6617,r,P60
ZTF19abacxod, IIb,IIb-H,0.01765,2458654.5,2458672.64,17.6617,r,P60
ZTF19abacxod, IIb,IIb-H,0.01765,2458658.5,2458672.64,17.6617,r,P60
ZTF19abacxod, IIb,IIb-H,0.01765,2458669.5,2458672.64,17.6617,r,P60
ZTF19abafmwj, Ic,Ic,0.034,2458663.5,2458666.72,18.9868,r,P60
ZTF19abafmwj, Ic,Ic,0.034,2458666.5,2458666.72,18.9868,r,P60
ZTF19abafmwj, Ic,Ic,0.034,2458670.5,2458666.72,18.9868,r,P60
ZTF19abafmwj, Ic,Ic,0.034,2458673.5,2458666.72,18.9868,r,P60
ZTF19aazyvub, II,IIP,0.02287,2458667.5,2458660.91,17.9823,g,P60
ZTF19abajxet, II,IIP,0.01474,2458657.5,2458663.66,16.4113,g,P60
ZTF19abandzh, IIn,IIn,0.0406,2458658.5,2458676.64,18.5294,r,P60
ZTF19abandzh, IIn,IIn,0.0406,2458668.5,2458676.64,18.5294,r,P60
ZTF19abandzh, IIn,IIn,0.0406,2458668.5,2458676.64,18.5294,r,P60
ZTF19abauylg, Ic,Ic,0.044,2458664.5,2458672.66,16.6989,r,P60
ZTF19abauylg, Ic,Ic,0.044,2458668.5,2458672.66,16.6989,r,P60
ZTF19abauylg, Ic,Ic,0.044,2458671.5,2458672.66,16.6989,r,P60
ZTF19abauylg, Ic,Ic,0.044,2458680.5,2458672.66,16.6989,r,P60
ZTF19abauylg, Ic,Ic,0.044,2458681.5,2458672.66,16.6989,r,P60
ZTF19abauylg, Ic,Ic,0.044,2458690.5,2458672.66,16.6989,r,P60
ZTF19abauylg, Ic,Ic,0.044,2458695.5,2458672.66,16.6989,r,P60
ZTF19abauylg, Ic,Ic,0.044,2458701.5,2458672.66,16.6989,r,P60
ZTF19abanayw, II,IIP,0.0363,2458662.5,2458662.64,18.3671,g,P60
ZTF19abanayw, II,IIP,0.0363,2458666.5,2458662.64,18.3671,g,P60
ZTF19abanayw, II,IIP,0.0363,2458685.5,2458662.64,18.3671,g,P60
ZTF19abatvzs, II,IIP,0.025,2458661.5,2458661.93,18.4763,g,P60
ZTF19abatvzs, II,IIP,0.025,2458661.5,2458661.93,18.4763,g,P60
ZTF19abatvzs, II,IIP,0.025,2458667.5,2458661.93,18.4763,g,P60
ZTF19abatvzs, II,IIP,0.025,2458670.5,2458661.93,18.4763,g,P60
ZTF19abatvzs, II,IIP,0.025,2458674.5,2458661.93,18.4763,g,P60
ZTF19abatvzs, II,IIP,0.025,2458680.5,2458661.93,18.4763,g,P60
ZTF19abatvzs, II,IIP,0.025,2458680.5,2458661.93,18.4763,g,P60
ZTF19abatvzs, II,IIP,0.025,2458699.5,2458661.93,18.4763,g,P60
ZTF19abbthwy, IIb,IIb-noH,0.025,2458661.5,2458671.65,18.6697,r,P60
