name,type,z,hostz,specjd,maxjd,phase,fname,flag,instrument,ntype,deljd_r,deljd_g,deljd
ZTF18aazcuno,AGN,0.02,,2458287.5,2458329.79,-42.29,../ML_spectra/spectra/ZTF18aazcuno_20180618_P60_v1.ascii,0,P60,AGN,892.644942199811,890.696469900191,892.644942199811
ZTF18aazcuno,AGN,0.02,,2458289.5,2458329.79,-40.29,../ML_spectra/spectra/ZTF18aazcuno_20180620_P60_v1.ascii,0,P60,AGN,892.644942199811,890.696469900191,892.644942199811
ZTF18abcezmh, II,0.057,,2458302.5,2458299.83,2.67,../ML_spectra/spectra/ZTF18abcezmh_20180703_P60_v1.ascii,0,P60,IIP,49.8113079001269,23.9448726000264,49.8113079001269
ZTF18abcbwnd,AGN,0.062,,2458290.5,2458299.86,-9.36,../ML_spectra/spectra/ZTF18abcbwnd_20180621_P60_v1.ascii,0,P60,AGN,773.941863399945,879.77296300001,879.77296300001
ZTF18abceakp, II,0.03,,2458299.5,2458303.66,-4.16,../ML_spectra/spectra/ZTF18abceakp_20180630_P60_v1.ascii,0,P60,IIP,48.9353704000896,31.9503356995992,48.9353704000896
ZTF18abceakp, II,0.03,,2458301.5,2458303.66,-2.16,../ML_spectra/spectra/ZTF18abceakp_20180702_P60_v1.ascii,0,P60,IIP,48.9353704000896,31.9503356995992,48.9353704000896
ZTF18abceakp, II,0.03,,2458304.5,2458303.66,0.84,../ML_spectra/spectra/ZTF18abceakp_20180705_P60_v1.ascii,0,P60,IIP,48.9353704000896,31.9503356995992,48.9353704000896
ZTF18aamgcbt,AGN,0.0935,,2458332.5,2458311.63,20.87,../ML_spectra/spectra/ZTF18aamgcbt_20180802_P60_v1.ascii,0,P60,AGN,0.0,15.9471180001128,15.9471180001128
ZTF18aamgcbt,AGN,0.0935,,2458332.5,2458311.63,20.87,../ML_spectra/spectra/ZTF18aamgcbt_20180802_P60_v2.ascii,0,P60,AGN,0.0,15.9471180001128,15.9471180001128
ZTF18aavtklk,AGN,0.104,,2458335.5,2458872.9,-537.4,../ML_spectra/spectra/ZTF18aavtklk_20180805_P60_v1.ascii,0,P60,AGN,874.789722200003,894.814791699857,894.814791699857
ZTF18aavtklk,AGN,0.104,,2458335.5,2458872.9,-537.4,../ML_spectra/spectra/ZTF18aavtklk_20180805_P60_v2.ascii,0,P60,AGN,874.789722200003,894.814791699857,894.814791699857
ZTF18abjhbss,AGN,0.034,,2458342.5,2458364.64,-22.14,../ML_spectra/spectra/ZTF18abjhbss_20180812_P60_v1.ascii,0,P60,AGN,836.738090300008,854.754513899796,854.754513899796
ZTF18abjhbss,AGN,0.034,,2458342.5,2458364.64,-22.14,../ML_spectra/spectra/ZTF18abjhbss_20180812_P60_v2.ascii,0,P60,AGN,836.738090300008,854.754513899796,854.754513899796
ZTF18aaoxryq, Ia-91T,0.09402,,2458337.5,2458336.68,0.82,../ML_spectra/spectra/ZTF18aaoxryq_20180807_P60_v1.ascii,0,P60,Ia-91T,103.815127299626,29.9376157000734,103.815127299626
ZTF18abllrvn,CV,0.0,,2458334.5,2458333.78,0.72,../ML_spectra/spectra/ZTF18abllrvn_20180804_P60_v1.ascii,0,P60,CV,21.9943980998287,,21.9943980998287
ZTF18abllrvn,CV,0.0,,2458334.5,2458333.78,0.72,../ML_spectra/spectra/ZTF18abllrvn_20180804_P60_v2.ascii,0,P60,CV,21.9943980998287,,21.9943980998287
ZTF18ablovbj,CV,0.0,,2458338.5,2458673.94,-335.44,../ML_spectra/spectra/ZTF18ablovbj_20180808_P60_v1.ascii,0,P60,CV,813.877268500153,829.940949100077,829.940949100077
ZTF18ablovbj,CV,0.0,,2458338.5,2458673.94,-335.44,../ML_spectra/spectra/ZTF18ablovbj_20180808_P60_v2.ascii,0,P60,CV,813.877268500153,829.940949100077,829.940949100077
ZTF18ablvazp,CV,0.0,,2458338.5,2459047.9,-709.4,../ML_spectra/spectra/ZTF18ablvazp_20180808_P60_v1.ascii,0,P60,CV,720.108784699798,589.108425899874,720.108784699798
ZTF18ablvazp,CV,0.0,,2458338.5,2459047.9,-709.4,../ML_spectra/spectra/ZTF18ablvazp_20180808_P60_v2.ascii,0,P60,CV,720.108784699798,589.108425899874,720.108784699798
ZTF18ablerlf,CV,0.0,,2458342.5,2458332.76,9.74,../ML_spectra/spectra/ZTF18ablerlf_20180812_P60_v1.ascii,0,P60,CV,18.0483911996707,5.99861110001802,18.0483911996707
ZTF18ablerlf,CV,0.0,,2458342.5,2458332.76,9.74,../ML_spectra/spectra/ZTF18ablerlf_20180812_P60_v2.ascii,0,P60,CV,18.0483911996707,5.99861110001802,18.0483911996707
ZTF18ablgnrw,CV,0.0,,2458340.5,2458332.89,7.61,../ML_spectra/spectra/ZTF18ablgnrw_20180810_P60_v1.ascii,0,P60,CV,,5.95211800003017,5.95211800003017
ZTF18ablgnrw,CV,0.0,,2458340.5,2458332.89,7.61,../ML_spectra/spectra/ZTF18ablgnrw_20180810_P60_v2.ascii,0,P60,CV,,5.95211800003017,5.95211800003017
ZTF18ablgqyq,CV,0.0,,2458340.5,2458332.9,7.6,../ML_spectra/spectra/ZTF18ablgqyq_20180810_P60_v1.ascii,0,P60,CV,439.80204869993,738.94837959994,738.94837959994
ZTF18ablgqyq,CV,0.0,,2458340.5,2458332.9,7.6,../ML_spectra/spectra/ZTF18ablgqyq_20180810_P60_v2.ascii,0,P60,CV,439.80204869993,738.94837959994,738.94837959994
ZTF18ablwrch,CV,0.0,,2458343.5,2458338.62,4.88,../ML_spectra/spectra/ZTF18ablwrch_20180813_P60_v1.ascii,0,P60,CV,0.0,673.124351900071,673.124351900071
ZTF18ablpmiy,CV,0.0,,2458343.5,2458710.65,-367.15,../ML_spectra/spectra/ZTF18ablpmiy_20180813_P60_v2.ascii,0,P60,CV,783.877476899892,803.793506900322,803.793506900322
ZTF18ablrlog,CV,0.0,,2458343.5,2458336.69,6.81,../ML_spectra/spectra/ZTF18ablrlog_20180813_P60_v1.ascii,0,P60,CV,,578.246875000186,578.246875000186
ZTF18ablrlog,CV,0.0,,2458343.5,2458336.69,6.81,../ML_spectra/spectra/ZTF18ablrlog_20180813_P60_v2.ascii,0,P60,CV,,578.246875000186,578.246875000186
ZTF18ablvxkh,CV,0.0,,2458342.5,2458337.82,4.68,../ML_spectra/spectra/ZTF18ablvxkh_20180812_P60_v1.ascii,0,P60,CV,47.8259028000539,62.7458911999129,62.7458911999129
ZTF18ablvxkh,CV,0.0,,2458342.5,2458337.82,4.68,../ML_spectra/spectra/ZTF18ablvxkh_20180812_P60_v2.ascii,0,P60,CV,47.8259028000539,62.7458911999129,62.7458911999129
ZTF18ablwhde,CV,0.0,,2458342.5,2458740.81,-398.31,../ML_spectra/spectra/ZTF18ablwhde_20180812_P60_v1.ascii,0,P60,CV,414.749907400001,817.768842600301,817.768842600301
ZTF18ablwhde,CV,0.0,,2458342.5,2458740.81,-398.31,../ML_spectra/spectra/ZTF18ablwhde_20180812_P60_v2.ascii,0,P60,CV,414.749907400001,817.768842600301,817.768842600301
ZTF18abmbdbg,CV,0.0,,2458342.5,2458340.77,1.73,../ML_spectra/spectra/ZTF18abmbdbg_20180812_P60_v1.ascii,0,P60,CV,30.9594907997889,30.8830091999989,30.9594907997889
ZTF18abmbdbg,CV,0.0,,2458342.5,2458340.77,1.73,../ML_spectra/spectra/ZTF18abmbdbg_20180812_P60_v2.ascii,0,P60,CV,30.9594907997889,30.8830091999989,30.9594907997889
ZTF18ablrlbm,AGN,0.0344,,2458344.5,2458911.97,-567.47,../ML_spectra/spectra/ZTF18ablrlbm_20180814_P60_v1.ascii,0,P60,AGN,683.530231500045,808.892013899982,808.892013899982
ZTF18ablrlbm,AGN,0.0344,,2458354.5,2458911.97,-557.47,../ML_spectra/spectra/ZTF18ablrlbm_20180824_P60_v1.ascii,0,P60,AGN,683.530231500045,808.892013899982,808.892013899982
ZTF18ablvxdg,AGN,0.1,,2458765.5,2459051.85,-286.35,../ML_spectra/spectra/ZTF18ablvxdg_20191009_P60_v1.ascii,0,P60,AGN,809.828078699771,856.79262740026,856.79262740026
ZTF18abmxatl,CV,0.0,,2458347.5,2458346.62,0.88,../ML_spectra/spectra/ZTF18abmxatl_20180817_P60_v1.ascii,0,P60,CV,36.9247454004217,42.979004600078,42.979004600078
ZTF18aamxzjx,AGN,0.0781,,2458348.5,2458469.96,-121.46,../ML_spectra/spectra/ZTF18aamxzjx_20180818_P60_v1.ascii,0,P60,AGN,237.077685199671,612.180439800024,612.180439800024
ZTF18abjdnoh,AGN,0.06,,2458349.5,2458346.78,2.72,../ML_spectra/spectra/ZTF18abjdnoh_20180819_P60_v1.ascii,0,P60,AGN,608.718819399823,848.926435200039,848.926435200039
ZTF18abnbxsy,CV,0.0,,2458350.5,2458627.85,-277.35,../ML_spectra/spectra/ZTF18abnbxsy_20180820_P60_v1.ascii,0,P60,CV,804.909837999847,805.836365700256,805.836365700256
ZTF18abnurff,CV,0.0,,2458351.5,2458348.86,2.64,../ML_spectra/spectra/ZTF18abnurff_20180821_P60_v1.ascii,0,P60,CV,791.808865699924,791.810972199783,791.810972199783
ZTF18abobvym,CV,0.0,,2458351.5,2458791.6,-440.1,../ML_spectra/spectra/ZTF18abobvym_20180821_P60_v1.ascii,0,P60,CV,498.720624999609,807.820856499951,807.820856499951
ZTF17aaawgkc,CV,0.0,,2458352.5,2459043.8,-691.3,../ML_spectra/spectra/ZTF17aaawgkc_20180822_P60_v1.ascii,0,P60,CV,531.702372699961,766.883865800213,766.883865800213
ZTF18abmqrwk,CV,0.0,,2458352.5,2458344.79,7.71,../ML_spectra/spectra/ZTF18abmqrwk_20180822_P60_v1.ascii,0,P60,CV,21.8710763999261,21.8908796999604,21.8908796999604
ZTF18abnoonq,CV,0.0,,2458352.5,2458979.79,-627.29,../ML_spectra/spectra/ZTF18abnoonq_20180822_P60_v1.ascii,0,P60,CV,628.148992999915,330.126064800192,628.148992999915
ZTF18abnuark,CV,0.0,,2458352.5,2458348.8,3.7,../ML_spectra/spectra/ZTF18abnuark_20180822_P60_v1.ascii,0,P60,CV,569.660729200114,26.9512383998372,569.660729200114
ZTF18abnnnzk,AGN,0.064,,2458388.5,2459024.93,-636.43,../ML_spectra/spectra/ZTF18abnnnzk_20180927_P60_v1.ascii,0,P60,AGN,821.84162040009,821.844710599646,821.844710599646
ZTF18abnyktn,CV,0.0,,2458353.5,2458349.82,3.68,../ML_spectra/spectra/ZTF18abnyktn_20180823_P60_v1.ascii,0,P60,CV,242.163240700022,38.7598958001472,242.163240700022
ZTF18aadnqwz,AGN,0.04,,2458361.5,2458359.92,1.58,../ML_spectra/spectra/ZTF18aadnqwz_20180831_P60_v1.ascii,0,P60,AGN,208.707118000355,802.918692199972,802.918692199972
ZTF18aboerpp,AGN,0.0171,,2458377.5,2458894.7,-517.2,../ML_spectra/spectra/ZTF18aboerpp_20180916_P60_v1.ascii,0,P60,AGN,820.944294000037,796.946516199983,820.944294000037
ZTF18abojrnv,CV,0.0,,2458358.5,2458351.66,6.84,../ML_spectra/spectra/ZTF18abojrnv_20180828_P60_v1.ascii,0,P60,CV,812.9253934999,791.00436339993,812.9253934999
ZTF18abpmwfx,CV,0.0,,2458356.5,2458357.66,-1.16,../ML_spectra/spectra/ZTF18abpmwfx_20180826_P60_v1.ascii,0,P60,CV,24.0005093002619,26.9563194997609,26.9563194997609
ZTF18abpmwlt,CV,0.0,,2458356.5,2459013.8,-657.3,../ML_spectra/spectra/ZTF18abpmwlt_20180826_P60_v1.ascii,0,P60,CV,665.121574100107,656.218055599835,665.121574100107
ZTF18abptzkg,CV,0.0,,2458357.5,2458355.73,1.77,../ML_spectra/spectra/ZTF18abptzkg_20180827_P60_v1.ascii,0,P60,CV,12.0455208001586,6.0523958001213,12.0455208001586
ZTF18abnuhuy,AGN,0.083,,2458370.5,2458854.56,-484.06,../ML_spectra/spectra/ZTF18abnuhuy_20180909_P60_v1.ascii,0,P60,AGN,821.77354170008,823.752835600171,823.752835600171
ZTF18aaakpsa,AGN,0.017,,2458371.5,2458362.92,8.58,../ML_spectra/spectra/ZTF18aaakpsa_20180910_P60_v1.ascii,0,P60,AGN,711.918692099862,816.812719900168,816.812719900168
ZTF18abskbng,CV,0.0,,2458364.5,2458366.71,-2.21,../ML_spectra/spectra/ZTF18abskbng_20180903_P60_v1.ascii,0,P60,CV,776.873749999795,776.881608800039,776.881608800039
ZTF17aaaukqn,CV,0.0,,2458365.5,2458364.86,0.64,../ML_spectra/spectra/ZTF17aaaukqn_20180904_P60_v1.ascii,0,P60,CV,806.822245299816,806.810358800009,806.822245299816
ZTF18aaybtnt,CV,0.0,,2458365.5,2459033.67,-668.17,../ML_spectra/spectra/ZTF18aaybtnt_20180904_P60_v1.ascii,0,P60,CV,680.097187499981,677.069224599742,680.097187499981
ZTF18absmoql,CV,0.0,,2458365.5,2458364.68,0.82,../ML_spectra/spectra/ZTF18absmoql_20180904_P60_v1.ascii,0,P60,CV,793.932986100204,457.834386600182,793.932986100204
ZTF18absnibc,CV,0.0,,2458365.5,2458367.73,-2.23,../ML_spectra/spectra/ZTF18absnibc_20180904_P60_v1.ascii,0,P60,CV,313.012303299736,23.8967824000865,313.012303299736
ZTF18abrxrms,CV,0.0,,2458367.5,2458360.73,6.77,../ML_spectra/spectra/ZTF18abrxrms_20180906_P60_v1.ascii,0,P60,CV,11.8977083000282,9.06246529985219,11.8977083000282
ZTF18abehrdw,CV,0.0,,2458368.5,2458793.56,-425.06,../ML_spectra/spectra/ZTF18abehrdw_20180907_P60_v1.ascii,0,P60,CV,854.943113400143,865.822106500156,865.822106500156
ZTF18absnqyo, Ia,0.04,,2458369.5,2458379.72,-10.22,../ML_spectra/spectra/ZTF18absnqyo_20180908_P60_v1.ascii,0,P60,Ia,23.9325231998155,17.9816781999398,23.9325231998155
ZTF18abtgnxs,AGN,0.0172,,2458368.5,2458867.54,-499.04,../ML_spectra/spectra/ZTF18abtgnxs_20180907_P60_v1.ascii,0,P60,AGN,775.882789400399,804.820590300013,804.820590300013
ZTF18abmwszl,AGN,0.107,,2458369.5,2458367.86,1.64,../ML_spectra/spectra/ZTF18abmwszl_20180908_P60_v1.ascii,0,P60,AGN,800.825983800001,815.801192199811,815.801192199811
ZTF18absunxx,CV,0.0,,2458369.5,2458757.64,-388.14,../ML_spectra/spectra/ZTF18absunxx_20180908_P60_v1.ascii,0,P60,CV,321.236296300318,715.961284699843,715.961284699843
ZTF18abucoyd,CV,0.0,,2458372.5,2458369.66,2.84,../ML_spectra/spectra/ZTF18abucoyd_20180911_P60_v1.ascii,0,P60,CV,0.0,20.9142591999844,20.9142591999844
ZTF18abtuzwc,CV,0.0,,2458377.5,2458769.64,-392.14,../ML_spectra/spectra/ZTF18abtuzwc_20180916_P60_v1.ascii,0,P60,CV,406.814571799718,412.87593750003,412.87593750003
ZTF18abthqde,CV,0.0,,2458374.5,2458901.01,-526.51,../ML_spectra/spectra/ZTF18abthqde_20180913_P60_v2.ascii,0,P60,CV,547.304571700268,547.284224499948,547.304571700268
ZTF18aaqikyu,CV,0.0,,2458381.5,2458375.69,5.81,../ML_spectra/spectra/ZTF18aaqikyu_20180920_P60_v1.ascii,0,P60,CV,732.087789399993,731.940752299975,732.087789399993
ZTF18aavoyoq,CV,0.0,,2458381.5,2458905.01,-523.51,../ML_spectra/spectra/ZTF18aavoyoq_20180920_P60_v1.ascii,0,P60,CV,766.964953700073,768.874247699983,768.874247699983
ZTF18abvassm,CV,0.0,,2458378.5,2458375.68,2.82,../ML_spectra/spectra/ZTF18abvassm_20180917_P60_v1.ascii,0,P60,CV,638.17902779999,289.226388900068,638.17902779999
ZTF18aaabltn,CLAGN,0.0458,,2458461.5,2458900.64,-439.14,../ML_spectra/spectra/ZTF18aaabltn_20181209_P60_v1.ascii,0,P60,AGN,600.651990800165,697.967280100107,697.967280100107
ZTF18abvpiim,CV,0.0,,2458378.5,2458374.72,3.78,../ML_spectra/spectra/ZTF18abvpiim_20180917_P60_v1.ascii,0,P60,CV,342.965671299964,593.172430600047,593.172430600047
ZTF18aabvpbb,CV,0.0,,2458380.5,2458864.66,-484.16,../ML_spectra/spectra/ZTF18aabvpbb_20180919_P60_v1.ascii,0,P60,CV,755.008321799804,549.317199099809,755.008321799804
ZTF18aammlba,CV,0.0,,2458380.5,2459044.8,-664.3,../ML_spectra/spectra/ZTF18aammlba_20180919_P60_v1.ascii,0,P60,CV,937.646273199935,686.200891199987,937.646273199935
ZTF18abvbesl,CV,0.0,,2458380.5,2458375.68,4.82,../ML_spectra/spectra/ZTF18abvbesl_20180919_P60_v1.ascii,0,P60,CV,5.93725690012798,8.98106479971466,8.98106479971466
ZTF18abvwpnt,CV,0.0,,2458382.5,2458378.75,3.75,../ML_spectra/spectra/ZTF18abvwpnt_20180921_P60_v1.ascii,0,P60,CV,0.0,5.94744209990313,5.94744209990313
ZTF18abvwqtp,AGN,0.116,,2458382.5,2458674.87,-292.37,../ML_spectra/spectra/ZTF18abvwqtp_20180921_P60_v1.ascii,0,P60,AGN,515.711759200312,766.830046300303,766.830046300303
ZTF18abwjzpq,CV,0.0,,2458382.5,2458781.83,-399.33,../ML_spectra/spectra/ZTF18abwjzpq_20180921_P60_v1.ascii,0,P60,CV,604.327986199874,720.984073999818,720.984073999818
ZTF18abwlopg, Ia-91T,0.083,,2458386.5,2458387.93,-1.43,../ML_spectra/spectra/ZTF18abwlopg_20180925_P60_v2.ascii,0,P60,Ia-91T,53.9731018999592,,53.9731018999592
ZTF18aaenfaa,AGN,0.0776,,2458383.5,2458900.64,-517.14,../ML_spectra/spectra/ZTF18aaenfaa_20180922_P60_v1.ascii,0,P60,AGN,789.998981500037,746.005868000437,789.998981500037
ZTF18abygcwk,CV,0.0,,2458385.5,2458385.68,-0.18,../ML_spectra/spectra/ZTF18abygcwk_20180924_P60_v2.ascii,0,P60,CV,4.92291670012492,5.91505789989606,5.91505789989606
ZTF18aaakpbx,CV,0.0,,2458389.5,2458874.67,-485.17,../ML_spectra/spectra/ZTF18aaakpbx_20180928_P60_v2.ascii,0,P60,CV,786.782696799841,784.899664300028,786.782696799841
ZTF18abyukaz,CV,0.0,,2458386.5,2458387.64,-1.14,../ML_spectra/spectra/ZTF18abyukaz_20180925_P60_v1.ascii,0,P60,CV,556.375972299837,556.260069399599,556.375972299837
ZTF18abyzmsb,CV,0.0,,2458388.5,2458388.62,-0.12,../ML_spectra/spectra/ZTF18abyzmsb_20180927_P60_v2.ascii,0,P60,CV,3.0078125,3.02133109978604,3.02133109978604
ZTF18abcohew,AGN,0.045,,2458456.5,2458943.95,-487.45,../ML_spectra/spectra/ZTF18abcohew_20181204_P60_v1.ascii,0,P60,AGN,803.912280099918,867.773518499918,867.773518499918
ZTF18acajosk,CV,0.0,,2458401.5,2458718.92,-317.42,../ML_spectra/spectra/ZTF18acajosk_20181010_P60_v1.ascii,0,P60,CV,387.918877300341,710.010810200118,710.010810200118
ZTF18aakfabl, II,0.035,,2458427.5,2458423.94,3.56,../ML_spectra/spectra/ZTF18aakfabl_20181105_P60_v1.ascii,0,P60,IIP,751.980046299766,28.0042360997832,751.980046299766
ZTF18aakfabl, II,0.035,,2458437.5,2458423.94,13.56,../ML_spectra/spectra/ZTF18aakfabl_20181115_P60_v1.ascii,0,P60,IIP,751.980046299766,28.0042360997832,751.980046299766
ZTF18aakfabl, II,0.035,,2458437.5,2458423.94,13.56,../ML_spectra/spectra/ZTF18aakfabl_20181115_P60_v3.ascii,0,P60,IIP,751.980046299766,28.0042360997832,751.980046299766
ZTF18aaaokus,AGN,0.00883,,2458432.5,2458955.69,-523.19,../ML_spectra/spectra/ZTF18aaaokus_20181110_P60_v1.ascii,0,P60,AGN,747.013240700115,730.03626160045,747.013240700115
ZTF18aabicqe,AGN,0.08,,2458425.5,2458862.76,-437.26,../ML_spectra/spectra/ZTF18aabicqe_20181103_P60_v1.ascii,0,P60,AGN,749.067164300017,677.101400499691,749.067164300017
ZTF18aadkjmo,AGN,0.02499,,2458424.5,2458455.72,-31.22,../ML_spectra/spectra/ZTF18aadkjmo_20181102_P60_v1.ascii,0,P60,AGN,748.031319499954,742.00062499987,748.031319499954
ZTF18aasszwr,CLAGN,0.168,,2458455.5,2458432.94,22.56,../ML_spectra/spectra/ZTF18aasszwr_20181203_P60_v1.ascii,0,P60,AGN,747.004918999977,822.333819400054,822.333819400054
ZTF18abyjgcx,AGN,0.086,,2458425.5,2458573.59,-148.09,../ML_spectra/spectra/ZTF18abyjgcx_20181103_P60_v1.ascii,0,P60,AGN,773.954571699724,787.939733800005,787.939733800005
ZTF18abyjgcx,AGN,0.086,,2458425.5,2458573.59,-148.09,../ML_spectra/spectra/ZTF18abyjgcx_20181103_P60_v2.ascii,0,P60,AGN,773.954571699724,787.939733800005,787.939733800005
ZTF18acauwik,AGN,0.1,,2458424.5,2458456.61,-32.11,../ML_spectra/spectra/ZTF18acauwik_20181102_P60_v1.ascii,0,P60,AGN,675.144976899952,691.02518519992,691.02518519992
ZTF18absltuj,AGN,0.0191,,2458449.5,2458522.65,-73.15,../ML_spectra/spectra/ZTF18absltuj_20181127_P60_v1.ascii,0,P60,AGN,801.916990700178,719.021203699987,801.916990700178
ZTF18abxrngw,AGN,0.215,,2458427.5,2458424.65,2.85,../ML_spectra/spectra/ZTF18abxrngw_20181105_P60_v1.ascii,0,P60,AGN,734.991261600051,781.885694500059,781.885694500059
ZTF18acbxphq,CV,0.0,,2458425.5,2458979.89,-554.39,../ML_spectra/spectra/ZTF18acbxphq_20181103_P60_v1.ascii,0,P60,CV,574.232002299737,574.2549883998,574.2549883998
ZTF18aaxzpyh,AGN,0.111,,2458432.5,2458440.95,-8.45,../ML_spectra/spectra/ZTF18aaxzpyh_20181110_P60_v1.ascii,0,P60,AGN,542.702673600055,711.957534700159,711.957534700159
ZTF18abqarng,AGN,0.135,,2458430.5,2458503.62,-73.12,../ML_spectra/spectra/ZTF18abqarng_20181108_P60_v1.ascii,0,P60,AGN,807.909618099693,804.814722300027,807.909618099693
ZTF18abtslka,AGN,0.077,,2458429.5,2458742.96,-313.46,../ML_spectra/spectra/ZTF18abtslka_20181107_P60_v1.ascii,0,P60,AGN,708.99682869995,542.735092599876,708.99682869995
ZTF18abuwcul,AGN,0.122,,2458431.5,2458434.76,-3.26,../ML_spectra/spectra/ZTF18abuwcul_20181109_P60_v1.ascii,0,P60,AGN,638.102268499795,795.930509299971,795.930509299971
ZTF18acbvkwl,AGN,0.0914,,2458443.5,2458523.66,-80.16,../ML_spectra/spectra/ZTF18acbvkwl_20181121_P60_v1.ascii,0,P60,AGN,475.751458299812,749.898205999751,749.898205999751
ZTF18acbzitw,CV,0.0,,2458438.5,2458781.96,-343.46,../ML_spectra/spectra/ZTF18acbzitw_20181116_P60_v1.ascii,0,P60,CV,718.050173600204,732.006446800195,732.006446800195
ZTF18aaadtdc,AGN,0.03865,,2458428.5,2458434.71,-6.21,../ML_spectra/spectra/ZTF18aaadtdc_20181106_P60_v1.ascii,0,P60,AGN,720.896631900221,743.935995399952,743.935995399952
ZTF18abkojhi,AGN,0.047,,2458429.5,2459051.82,-622.32,../ML_spectra/spectra/ZTF18abkojhi_20181107_P60_v1.ascii,0,P60,AGN,828.823206100147,839.823275399867,839.823275399867
ZTF18abujubn,AGN,0.01,,2458431.5,2458435.54,-4.04,../ML_spectra/spectra/ZTF18abujubn_20181109_P60_v1.ascii,0,P60,AGN,11.9949074000979,587.17853000015,587.17853000015
ZTF18acbwkso,CV,0.0,,2458429.5,2458423.6,5.9,../ML_spectra/spectra/ZTF18acbwkso_20181107_P60_v1.ascii,0,P60,CV,8.99906249998458,9.01612270018086,9.01612270018086
ZTF18acfvhko,AGN,0.03158,,2458432.5,2458431.69,0.81,../ML_spectra/spectra/ZTF18acfvhko_20181110_P60_v1.ascii,0,P60,AGN,,2.92427089998091,2.92427089998091
ZTF18acfvhko,AGN,0.03158,,2458432.5,2458431.69,0.81,../ML_spectra/spectra/ZTF18acfvhko_20181110_P60_v2.ascii,0,P60,AGN,,2.92427089998091,2.92427089998091
ZTF18aceaape,AGN,0.065,,2458482.5,2458481.75,0.75,../ML_spectra/spectra/ZTF18aceaape_20181230_P60_v1.ascii,0,P60,AGN,684.059282399721,664.113206000082,684.059282399721
ZTF17aadcbei,CV,0.0,,2458439.5,2458437.89,1.61,../ML_spectra/spectra/ZTF17aadcbei_20181117_P60_v1.ascii,0,P60,CV,8.07285879970732,2.97711799992248,8.07285879970732
ZTF18accngxc, II,0.07,,2458581.5,2458575.66,5.84,../ML_spectra/spectra/ZTF18accngxc_20190408_P60_v1.ascii,0,P60,IIP,183.671134199947,31.0051388996726,183.671134199947
ZTF18acgqweq,AGN,0.17,,2458443.5,2458449.86,-6.36,../ML_spectra/spectra/ZTF18acgqweq_20181121_P60_v1.ascii,0,P60,AGN,732.114965300061,739.928078699864,739.928078699864
ZTF18acnbgpw, Ia-91T,0.055,,2458471.5,2458450.96,20.54,../ML_spectra/spectra/ZTF18acnbgpw_20181219_P60_v1.ascii,0,P60,Ia-91T,84.9822799996327,73.9673263998775,84.9822799996327
ZTF18acnncve, Ib,0.0445,,2458448.5,2458447.9,0.6,../ML_spectra/spectra/ZTF18acnncve_20181126_P60_v1.ascii,0,P60,Ib,47.9580439999627,26.0007291999864,47.9580439999627
